game_year,game_date,game_pk,at_bat_number,pitch_number,p_throws,stand,pitch_type,zone,hc_x,hc_y,loc_x,loc_y,type,events,bb_type,hit_direction,ooz,sort_rank
2023,2023-08-01,717182,69,3,R,R,FC,1.0,150.6,77.27,62.840995779999986,301.9761910000001,X,field_out,fly_ball,Straightaway,False,1
2023,2023-07-31,717189,28,4,R,R,FF,4.0,82.21,122.96,-107.83794391000002,187.94898301000006,X,single,ground_ball,Pull,False,0
2023,2023-07-31,717189,40,2,L,R,FF,5.0,109.64,158.02,-39.38168838000001,100.45075775000001,X,force_out,ground_ball,Pull,False,0
2023,2023-07-31,717189,57,1,L,R,SL,8.0,125.27,201.1,-0.3743506500000142,-7.062748929999961,X,field_out,ground_ball,Pull,False,0
2023,2023-07-30,717208,25,4,L,R,FF,4.0,72.41,148.55,-132.29551971000004,124.08476212000001,X,double,ground_ball,Pull,False,0
2023,2023-07-30,717208,82,4,L,R,FF,2.0,195.61,119.28,175.17114749000004,197.13305229000005,X,double_play,fly_ball,Oppo,False,2
2023,2023-07-30,717208,41,2,R,R,FF,4.0,144.15,67.78,46.743917830000015,325.66010879000004,X,field_out,fly_ball,Straightaway,False,1
2023,2023-07-29,717216,15,2,R,R,SI,7.0,122.75,137.75,-6.663441570000005,151.03800892000004,X,field_out,line_drive,Straightaway,False,1
2023,2023-07-29,717216,68,6,R,R,SI,4.0,72.46,119.75,-132.17073616000002,195.96008692000004,X,single,line_drive,Pull,False,0
2023,2023-07-28,717234,35,3,R,R,SI,4.0,107.29,151.07,-45.24651522999999,117.79567120000006,X,force_out,ground_ball,Pull,False,0
2023,2023-07-28,717234,17,5,R,R,ST,14.0,108.88,169.32,-41.27839834000002,72.24967545000005,X,field_out,ground_ball,Pull,True,0
2023,2023-07-28,717234,67,1,R,R,SI,8.0,112.67,160.56,-31.81980525,94.11175341000003,X,field_error,ground_ball,Pull,False,0
2023,2023-07-28,717234,50,1,L,R,SI,4.0,108.35,147.52,-42.60110397000002,126.65530325,X,grounded_into_double_play,ground_ball,Pull,False,0
2023,2023-07-25,717267,26,4,R,R,SI,13.0,109.23,159.06,-40.40491349,97.85525991000003,X,force_out,ground_ball,Pull,True,0
2023,2023-07-25,717267,6,6,R,R,SI,9.0,116.34,158.55,-22.660692679999997,99.12805212,X,field_out,ground_ball,Pull,False,0
2023,2023-07-25,717267,68,3,R,R,SI,3.0,105.62,138.32,-49.414285799999995,149.61547645000005,X,field_out,ground_ball,Pull,False,0
2023,2023-07-24,717280,21,1,R,R,FC,9.0,200.66,124.72,187.77428604,183.55660205000004,X,field_out,fly_ball,Oppo,False,2
2023,2023-07-24,717280,5,4,R,R,FC,14.0,148.09,153.73,56.576861570000005,111.15718634000007,X,field_out,ground_ball,Oppo,True,2
2023,2023-07-23,717283,37,5,L,R,FF,1.0,63.52,72.55,-154.4820349,313.75575812000005,X,double,line_drive,Pull,False,0
2023,2023-07-23,717283,2,5,R,R,FF,14.0,114.15,154.7,-28.12621216999999,108.73638547000006,X,grounded_into_double_play,ground_ball,Pull,True,0
2023,2023-07-23,717283,53,2,R,R,CH,14.0,136.05,98.91,26.528982730000028,247.96987056000006,X,single,line_drive,Straightaway,True,1
