check,got,want,pass
platoon W1 R pa,245,245,True
platoon W1 R ops,0.6874236874236874,0.6874,True
platoon W1 R woba,0.29970204081632656,0.2997,True
platoon W1 R below_floor,False,False,True
platoon W2 L pa,32,32,True
platoon W2 L ops,0.8770833333333333,0.8771,True
platoon W2 L woba,0.37915625,0.3792,True
platoon W2 L below_floor,True,True,True
platoon W2 R pa,70,70,True
platoon W2 R ops,0.9066964285714285,0.9067,True
platoon W2 R woba,0.38244285714285714,0.3824,True
platoon W2 R below_floor,False,False,True
platoon W3 L pa,39,39,True
platoon W3 L ops,0.662004662004662,0.662,True
platoon W3 L woba,0.2987894736842105,0.2988,True
platoon W3 L below_floor,True,True,True
platoon W3 R pa,90,90,True
platoon W3 R ops,0.5095046854082999,0.5095,True
platoon W3 R woba,0.2304111111111111,0.2304,True
platoon W3 R below_floor,False,False,True
W3 vs RHP mean EV (report §7),83.86031746031748,83.86,True
exposure W1 LHP share,0.33962264150943394,0.3396,True
exposure W2 LHP share,0.3137254901960784,0.3137,True
exposure W3 LHP share,0.3023255813953488,0.3023,True
pg W1 fastball pitches,746,746,True
pg W1 fastball usage,0.5305832147937412,0.5306,True
pg W1 fastball pa,210,210,True
pg W1 fastball ba,0.2789473684210526,0.2789,True
pg W1 fastball slg,0.4368421052631579,0.4368,True
pg W1 fastball woba,0.3425952380952381,0.3426,True
pg W1 fastball whiff,0.1875,0.1875,True
pg W1 breaking pitches,486,486,True
pg W1 breaking usage,0.3456614509246088,0.3457,True
pg W1 breaking pa,124,124,True
pg W1 breaking ba,0.18487394957983194,0.1849,True
pg W1 breaking slg,0.2857142857142857,0.2857,True
pg W1 breaking woba,0.22304032258064516,0.223,True
pg W1 breaking whiff,0.37142857142857144,0.3714,True
pg W1 offspeed pitches,174,174,True
pg W1 offspeed usage,0.12375533428165007,0.1238,True
pg W1 offspeed pa,37,37,True
pg W1 offspeed ba,0.1891891891891892,0.1892,True
pg W1 offspeed slg,0.1891891891891892,0.1892,True
pg W1 offspeed woba,0.16837837837837838,0.1684,True
pg W1 offspeed whiff,0.3902439024390244,0.3902,True
pg W2 fastball pitches,194,194,True
pg W2 fastball usage,0.49363867684478374,0.4936,True
pg W2 fastball pa,50,50,True
pg W2 fastball ba,0.29545454545454547,0.2955,True
pg W2 fastball slg,0.5681818181818182,0.5682,True
pg W2 fastball woba,0.39311999999999997,0.3931,True
pg W2 fastball whiff,0.2079207920792079,0.2079,True
pg W2 breaking pitches,152,152,True
pg W2 breaking usage,0.38676844783715014,0.3868,True
pg W2 breaking pa,34,34,True
pg W2 breaking ba,0.28125,0.2812,True
pg W2 breaking slg,0.53125,0.5312,True
pg W2 breaking woba,0.3668823529411765,0.3669,True
pg W2 breaking whiff,0.34328358208955223,0.3433,True
pg W2 offspeed pitches,47,47,True
pg W2 offspeed usage,0.11959287531806616,0.1196,True
pg W2 offspeed pa,18,18,True
pg W2 offspeed ba,0.2777777777777778,0.2778,True
pg W2 offspeed slg,0.6111111111111112,0.6111,True
pg W2 offspeed woba,0.37633333333333335,0.3763,True
pg W2 offspeed whiff,0.3448275862068966,0.3448,True
pg W3 fastball pitches,248,248,True
pg W3 fastball usage,0.519916142557652,0.5199,True
pg W3 fastball pa,59,59,True
pg W3 fastball ba,0.17307692307692307,0.1731,True
pg W3 fastball slg,0.23076923076923078,0.2308,True
pg W3 fastball woba,0.22566101694915253,0.2257,True
pg W3 fastball whiff,0.21296296296296297,0.213,True
pg W3 breaking pitches,192,192,True
pg W3 breaking usage,0.4025157232704403,0.4025,True
pg W3 breaking pa,59,59,True
pg W3 breaking ba,0.2,0.2,True
pg W3 breaking slg,0.2727272727272727,0.2727,True
pg W3 breaking woba,0.23925423728813558,0.2393,True
pg W3 breaking whiff,0.35353535353535354,0.3535,True
pg W3 offspeed pitches,33,33,True
pg W3 offspeed usage,0.06918238993710692,0.0692,True
pg W3 offspeed pa,10,10,True
pg W3 offspeed ba,0.4444444444444444,0.4444,True
pg W3 offspeed slg,0.5555555555555556,0.5556,True
pg W3 offspeed woba,0.46609999999999996,0.4661,True
pg W3 offspeed whiff,0.29411764705882354,0.2941,True
pt FF pitches,617,617,True
pt FF woba,0.3657333333333333,0.3657,True
pt FF whiff,0.22077922077922077,0.2208,True
pt SI pitches,385,385,True
pt SI woba,0.3121048387096774,0.3121,True
pt SI whiff,0.11848341232227488,0.1185,True
pt SL pitches,376,376,True
pt SL woba,0.24343434343434345,0.2434,True
pt SL whiff,0.359375,0.3594,True
pt ST pitches,256,256,True
pt ST woba,0.18220967741935484,0.1822,True
pt ST whiff,0.4067796610169492,0.4068,True
pt CH pitches,194,194,True
pt CH woba,0.280265306122449,0.2803,True
pt CH whiff,0.3333333333333333,0.3333,True
pt FC pitches,186,186,True
pt FC woba,0.2523111111111111,0.2523,True
pt FC whiff,0.28888888888888886,0.2889,True
pt CU pitches,138,138,True
pt CU woba,0.30341463414634146,0.3034,True
pt CU whiff,0.2916666666666667,0.2917,True
pt FS pitches,54,54,True
pt FS woba,0.26213333333333333,0.2621,True
pt FS whiff,0.46875,0.4688,True
pt KC pitches,46,46,True
pt KC woba,0.46299999999999997,0.463,True
pt KC whiff,0.4166666666666667,0.4167,True
report §7: ST+SL share of all 2026 pitches,0.27768014059753954,0.278,True
report §7: ST+SL pitch count,632,632,True
scan 2026-06-01 pre_pa,256,256,True
scan 2026-06-01 post_pa,346,346,True
scan 2026-06-01 d_ops,0.08040780079891052,0.0804,True
scan 2026-06-01 d_woba,0.03268109148550724,0.0327,True
scan 2026-06-15 pre_pa,309,309,True
scan 2026-06-15 post_pa,293,293,True
scan 2026-06-15 d_ops,0.1443097523224749,0.1443,True
scan 2026-06-15 d_woba,0.0576726404220419,0.0577,True
