game_year,batter,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,whiff_rate,chase_rate,swing_rate,swing_rate_in_zone,whiff_rate_in_zone,hard_hit_rate,barrel_rate,pull_air_rate,mean_ev,mean_la,pu_rate,gb_rate
2018,596451,143,560,131,34,10,10,1,35,0,22,6,4,2,97,0.2595,0.3169,0.4122,0.7291,0.1527,0.2448,0.0699,0.3404,0.3157,0.2857,0.2596,0.4875,0.7243,0.2132,0.2784,0.0206,0.134,86.9087,8.6304,0.0515,0.5258
2018,596748,458,1645,433,117,22,22,0,62,3,77,17,1,22,374,0.2702,0.3035,0.4665,0.77,0.1963,0.1354,0.048,0.2699,0.3284,0.2124,0.3211,0.5179,0.7269,0.1426,0.3396,0.0642,0.1711,88.0462,9.5376,0.115,0.4947
2018,605400,70,264,62,3,1,1,0,36,0,2,1,0,0,33,0.0484,0.0635,0.0645,0.128,0.0161,0.5143,0.0143,0.1154,0.0587,0.2391,0.1398,0.3485,0.462,0.2152,0.0606,0.0,0.0303,78.636,-4.8,0.0606,0.7576
2018,608384,446,1704,407,104,30,30,9,111,0,72,12,3,17,296,0.2555,0.3206,0.4251,0.7457,0.1695,0.2489,0.0673,0.3118,0.3246,0.2702,0.3016,0.493,0.6904,0.1623,0.375,0.0676,0.1385,88.6027,10.4061,0.0405,0.4527
2018,621044,89,376,79,14,8,8,1,24,1,7,5,1,1,56,0.1772,0.2584,0.3038,0.5622,0.1266,0.2697,0.0899,0.2364,0.2499,0.2763,0.1946,0.4043,0.6073,0.2328,0.1607,0.0179,0.2679,84.9071,20.3571,0.125,0.2857
2018,621107,50,172,44,4,0,0,0,31,0,3,0,0,1,19,0.0909,0.0909,0.1591,0.25,0.0682,0.62,0.0,0.25,0.1062,0.5155,0.4722,0.564,0.63,0.3968,0.2105,0.0526,0.0,,,0.0526,0.8947
2018,641487,137,604,117,25,13,13,5,37,0,13,6,3,3,82,0.2137,0.3185,0.3932,0.7117,0.1795,0.2701,0.0949,0.2857,0.3135,0.275,0.1649,0.3974,0.6057,0.2083,0.3415,0.0488,0.2317,87.0074,15.321,0.0976,0.4146
2018,656555,658,2920,558,137,85,85,9,150,5,65,38,0,34,413,0.2455,0.3516,0.4964,0.848,0.2509,0.228,0.1292,0.2718,0.3634,0.2185,0.1971,0.3918,0.5997,0.158,0.3898,0.1138,0.2978,89.0051,22.6152,0.1283,0.2978
2018,664068,483,1964,452,102,23,23,3,126,5,69,23,2,8,331,0.2257,0.265,0.3385,0.6035,0.1128,0.2609,0.0476,0.291,0.2626,0.2904,0.366,0.5137,0.6434,0.238,0.3112,0.0514,0.1873,86.1711,17.3944,0.0785,0.3625
2019,446481,139,590,112,25,19,19,3,41,1,16,5,0,4,76,0.2232,0.3481,0.375,0.7231,0.1518,0.295,0.1367,0.3088,0.3188,0.3411,0.2348,0.4373,0.6908,0.2541,0.3684,0.0526,0.1842,86.6808,12.4932,0.1053,0.4737
2019,453562,50,186,45,7,1,1,0,19,0,6,1,0,0,30,0.1556,0.1739,0.1778,0.3517,0.0222,0.38,0.02,0.2692,0.1549,0.3537,0.3256,0.4409,0.5354,0.2075,0.2667,0.0,0.2333,79.075,20.6786,0.1333,0.4333
2019,457705,262,1165,219,56,43,43,0,55,0,33,12,1,10,164,0.2557,0.3779,0.4566,0.8345,0.2009,0.2099,0.1641,0.2987,0.3584,0.2567,0.1466,0.3545,0.5607,0.1799,0.4085,0.0732,0.1951,90.6378,12.6829,0.061,0.4573
2019,457803,149,512,145,32,3,3,0,29,1,14,6,0,12,117,0.2207,0.2349,0.5103,0.7452,0.2897,0.1946,0.0201,0.1905,0.3009,0.2977,0.4346,0.6035,0.8122,0.1935,0.4274,0.094,0.2222,90.2427,19.5043,0.094,0.3504
2019,514917,663,2600,612,171,41,41,6,100,4,123,31,3,14,516,0.2794,0.3288,0.4085,0.7373,0.1291,0.1508,0.0618,0.3127,0.3154,0.1715,0.2765,0.4596,0.6452,0.1092,0.2829,0.0271,0.1667,85.9279,9.499,0.0814,0.4981
2019,516416,617,2232,576,161,29,29,8,73,3,108,37,4,12,507,0.2795,0.3214,0.4201,0.7416,0.1406,0.1183,0.047,0.3016,0.3152,0.1462,0.3572,0.4749,0.6086,0.0786,0.3274,0.0316,0.1065,88.1521,7.1485,0.069,0.5286
2019,543543,130,506,118,31,11,11,1,35,0,15,3,1,12,83,0.2627,0.3308,0.6102,0.9409,0.3475,0.2692,0.0846,0.2676,0.3832,0.3093,0.2655,0.4664,0.7056,0.2515,0.4699,0.1446,0.1566,92.388,18.4217,0.0964,0.4217
2019,546318,139,533,126,28,11,11,1,33,1,16,10,1,1,94,0.2222,0.2878,0.3413,0.629,0.119,0.2374,0.0791,0.2903,0.2724,0.2852,0.3519,0.5197,0.7154,0.1534,0.3085,0.0426,0.2553,87.9691,11.0,0.0745,0.4043
2019,547180,671,2787,573,149,88,88,6,178,4,77,36,1,35,399,0.26,0.3621,0.5096,0.8717,0.2496,0.2653,0.1311,0.3132,0.3655,0.338,0.3037,0.4873,0.7421,0.239,0.4561,0.1479,0.2005,91.8147,13.6051,0.0426,0.396
2019,572816,137,584,133,39,3,3,0,33,1,19,10,2,8,101,0.2932,0.3066,0.5789,0.8855,0.2857,0.2409,0.0219,0.3333,0.3602,0.2661,0.5,0.6113,0.75,0.2308,0.3564,0.099,0.2574,87.351,18.6,0.1683,0.3069
2019,592663,591,2332,538,148,39,39,5,123,8,84,36,3,25,423,0.2751,0.3254,0.4926,0.818,0.2175,0.2081,0.066,0.309,0.3398,0.2384,0.3257,0.5073,0.7058,0.1665,0.4113,0.0875,0.1891,90.2903,14.3995,0.0804,0.3972
