pitcher,game_year,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,name,whiff_rate,chase_rate
488984,2018,958,271,201.0,65.0,6.0,14.0,51.0,0.258,0.303,0.433,0.735,0.315,0.188,0.052,0.022,"Hunter, Tommy",0.212890625,0.355
488984,2020,410,102,68.0,22.0,2.0,6.0,25.0,0.239,0.304,0.391,0.695,0.302,0.245,0.059,0.02,"Hunter, Tommy",0.25405405405405407,0.327
491646,2015,1173,319,250.0,82.0,4.0,13.0,50.0,0.278,0.304,0.38,0.684,0.295,0.157,0.041,0.013,"Gómez, Jeanmar",0.1925233644859813,0.295
491646,2016,1154,297,226.0,78.0,6.0,20.0,47.0,0.289,0.337,0.419,0.755,0.326,0.158,0.067,0.02,"Gómez, Jeanmar",0.18495934959349594,0.296
501625,2019,984,251,185.0,66.0,8.0,14.0,51.0,0.284,0.323,0.431,0.754,0.318,0.203,0.056,0.032,"Alvarez, Jose",0.23046875,0.321
502043,2021,1121,293,207.0,66.0,8.0,21.0,61.0,0.249,0.307,0.419,0.726,0.312,0.208,0.072,0.027,"Gibson, Kyle",0.236084452975048,0.291
502043,2022,2739,718,517.0,176.0,24.0,48.0,144.0,0.268,0.325,0.434,0.759,0.331,0.201,0.067,0.033,"Gibson, Kyle",0.2520692249811889,0.306
502624,2021,852,214,157.0,51.0,10.0,19.0,35.0,0.268,0.341,0.521,0.862,0.364,0.164,0.089,0.047,"Anderson, Chase",0.23544303797468355,0.258
504379,2019,832,212,149.0,57.0,4.0,16.0,45.0,0.298,0.354,0.44,0.794,0.337,0.212,0.075,0.019,"Nicasio, Juan",0.20924574209245742,0.28
518603,2015,1445,362,257.0,92.0,9.0,30.0,68.0,0.291,0.351,0.462,0.813,0.348,0.188,0.083,0.025,"De Fratus, Justin",0.22819767441860464,0.294
518617,2015,718,175,100.0,40.0,3.0,24.0,49.0,0.268,0.377,0.396,0.773,0.346,0.28,0.137,0.017,"Diekman, Jake",0.31790123456790126,0.278
518886,2023,1122,276,152.0,44.0,10.0,27.0,93.0,0.181,0.272,0.337,0.609,0.27,0.337,0.098,0.036,"Kimbrel, Craig",0.3314500941619586,0.292
519043,2021,1254,330,231.0,78.0,15.0,34.0,63.0,0.274,0.345,0.509,0.854,0.359,0.191,0.103,0.045,"Moore, Matt",0.22073578595317725,0.259
519085,2016,843,227,168.0,58.0,11.0,20.0,38.0,0.283,0.344,0.507,0.851,0.361,0.167,0.088,0.048,"Oberholtzer, Brett",0.1878048780487805,0.3
542587,2015,617,150,97.0,29.0,1.0,18.0,34.0,0.225,0.313,0.295,0.608,0.275,0.227,0.12,0.007,"Araujo, Elvis",0.2962962962962963,0.278
542587,2016,543,135,86.0,35.0,4.0,15.0,29.0,0.31,0.385,0.487,0.872,0.37,0.215,0.111,0.03,"Araujo, Elvis",0.2743362831858407,0.255
543272,2022,817,197,131.0,37.0,2.0,22.0,38.0,0.223,0.33,0.319,0.649,0.296,0.193,0.112,0.01,"Hand, Brad",0.18484848484848485,0.219
544727,2022,620,158,109.0,48.0,6.0,14.0,33.0,0.336,0.399,0.524,0.923,0.401,0.209,0.089,0.038,"Familia, Jeurys",0.27611940298507465,0.259
547179,2023,774,207,158.0,49.0,9.0,20.0,28.0,0.263,0.333,0.462,0.796,0.342,0.135,0.097,0.043,"Lorenzen, Michael",0.19302949061662197,0.302
554430,2020,1078,286,212.0,67.0,3.0,14.0,53.0,0.254,0.308,0.348,0.656,0.29,0.185,0.049,0.01,"Wheeler, Zack",0.22631578947368422,0.327
554430,2021,3205,849,548.0,169.0,16.0,45.0,247.0,0.215,0.261,0.321,0.582,0.255,0.291,0.053,0.019,"Wheeler, Zack",0.2675886951292844,0.304
554430,2022,2358,608,403.0,125.0,13.0,33.0,163.0,0.22,0.271,0.351,0.622,0.274,0.268,0.054,0.021,"Wheeler, Zack",0.25126050420168067,0.328
554430,2023,3155,787,527.0,168.0,20.0,39.0,211.0,0.229,0.274,0.364,0.638,0.278,0.268,0.05,0.025,"Wheeler, Zack",0.28633271490414347,0.321
554430,2024,3134,788,503.0,139.0,20.0,52.0,224.0,0.192,0.253,0.327,0.58,0.256,0.284,0.066,0.025,"Wheeler, Zack",0.2753894080996885,0.338
554430,2025,2394,587,349.0,107.0,19.0,33.0,195.0,0.197,0.252,0.347,0.6,0.262,0.332,0.056,0.032,"Wheeler, Zack",0.3145228215767635,0.312
554430,2026,2552,622,383.0,118.0,20.0,47.0,188.0,0.208,0.272,0.356,0.627,0.278,0.302,0.076,0.032,"Wheeler, Zack",0.3131868131868132,0.36
