game_year,pitcher,role,role_used,V_role,displaced_pitcher,displaced_efc,cand_efc,delta_staff_score,delta_efs,name,displaced_name,board,cand_rank,archetype_tier,coverage,games,n,needle_rank
2025,660853,RP,RP,241.0,670950,43.9178,46.846,0.168,0.0,Enyel De Los Santos,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,9,63,
2026,668964,RP,RP,241.0,670950,43.9178,46.8293,0.167,0.0,Tobias Myers,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,5,73,
2025,656288,SP,SP,669.0,605400,39.0179,46.3859,1.1733,0.0,Griffin Canning,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,4,96,
2025,663574,RP,RP,241.0,670950,43.9178,45.5165,0.0917,0.0,Tony Santillan,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,8,54,
2025,670102,SP,SP,669.0,605400,39.0179,45.4777,1.0287,0.0,MLBAM 670102,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,4,71,
2025,622491,SP,SP,669.0,605400,39.0179,45.3271,1.0047,0.0,Luis Castillo,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,7,63,
2025,672782,RP,RP,241.0,670950,43.9178,45.0679,0.066,0.0,Yoendrys Gómez,Trevor Richards,WATCH (THIN),,NOT ELITE,COMPLETE,14,75,
2025,683627,UNK,RP,241.0,670950,43.9178,44.9908,0.0616,0.0,Anthony Molina,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,6,74,
2026,673540,RP,RP,241.0,670950,43.9178,44.6512,0.0421,0.0,Kodai Senga,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,4,54,
2025,669387,SP,SP,669.0,605400,39.0179,44.5237,0.8768,0.0,Carmen Mlodzinski,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,3,53,
2026,641793,SP,SP,669.0,605400,39.0179,44.2796,0.8379,0.0,Zack Littell,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,4,56,
2025,683409,RP,RP,241.0,670950,43.9178,44.0956,0.0102,0.0,Angel Chivilli,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,12,87,
2025,685299,UNK,RP,241.0,670950,43.9178,43.4666,-0.0259,0.0,MLBAM 685299,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,3,66,
