entity,player_name,game_year,plate_apps,pitches,ba,obp,slg,ops,woba,krate,whiff_rate,chase_rate,hard_hit_rate,barrel_rate,runs_created,rc_per_pa
Phillies Hitters,"Ellis, A.J.",2016,35,153,0.3125,0.37142857142857144,0.5,0.8714285714285714,0.3737714285714286,0.2,0.12727272727272726,0.16666666666666666,0.44,0.04,9,0.2571428571428571
Phillies Hitters,"Ellis, Drew",2023,29,128,0.21739130434782608,0.3793103448275862,0.4782608695652174,0.8575712143928036,0.37355172413793103,0.2413793103448276,0.28,0.15873015873015872,0.375,0.1875,5,0.1724137931034483
Phillies Hitters,"Featherston, Taylor",2016,28,113,0.11538461538461539,0.17857142857142858,0.15384615384615385,0.33241758241758246,0.15642857142857142,0.39285714285714285,0.375,0.32,0.2,0.0,1,0.03571428571428571
Phillies Hitters,"Florimón, Pedro",2017,49,214,0.34782608695652173,0.3877551020408163,0.4782608695652174,0.8660159716060337,0.37155102040816324,0.32653061224489793,0.2336448598130841,0.2761904761904762,0.3,0.03333333333333333,6,0.12244897959183673
Phillies Hitters,"Florimón, Pedro",2018,76,345,0.22535211267605634,0.27631578947368424,0.4225352112676056,0.6988510007412898,0.2991052631578947,0.39473684210526316,0.33121019108280253,0.23493975903614459,0.43902439024390244,0.04878048780487805,5,0.06578947368421052
Phillies Hitters,"Franco, Maikel",2015,335,1198,0.27960526315789475,0.34328358208955223,0.4967105263157895,0.8399941084053417,0.3597117117117117,0.15522388059701492,0.2395104895104895,0.2961240310077519,0.3715415019762846,0.05928853754940711,53,0.1582089552238806
Phillies Hitters,"Franco, Maikel",2016,630,2246,0.2547332185886403,0.30634920634920637,0.4268502581755594,0.7331994645247657,0.3111396468699839,0.16825396825396827,0.24242424242424243,0.3213675213675214,0.407098121085595,0.06889352818371608,93,0.14761904761904762
Phillies Hitters,"Franco, Maikel",2017,620,2334,0.22956521739130434,0.27741935483870966,0.40869565217391307,0.6861150070126227,0.29191290322580643,0.1532258064516129,0.2231686541737649,0.2846715328467153,0.3628865979381443,0.05979381443298969,82,0.13225806451612904
Phillies Hitters,"Franco, Maikel",2018,458,1645,0.2702078521939954,0.3034934497816594,0.4665127020785219,0.7700061518601813,0.328382096069869,0.13537117903930132,0.21244131455399062,0.32109004739336494,0.339572192513369,0.06417112299465241,70,0.15283842794759825
Phillies Hitters,"Franco, Maikel",2019,409,1511,0.23393316195372751,0.26405867970660146,0.4087403598971722,0.6727990396037737,0.2811466992665036,0.1491442542787286,0.21979434447300772,0.3391959798994975,0.38368580060422963,0.06948640483383686,57,0.1393643031784841
Phillies Hitters,"Francoeur, Jeff",2015,343,1183,0.25766871165644173,0.2857142857142857,0.4325153374233129,0.7182296231375986,0.308332361516035,0.22448979591836735,0.25225225225225223,0.4363354037267081,0.3333333333333333,0.047619047619047616,48,0.13994169096209913
Phillies Hitters,"Galvis, Freddy",2015,603,2288,0.2629695885509839,0.30201342281879195,0.3434704830053667,0.6454839058241586,0.28350756302521013,0.17081260364842454,0.19214346712211786,0.395503746877602,0.22055674518201285,0.021413276231263382,55,0.0912106135986733
Phillies Hitters,"Galvis, Freddy",2016,624,2365,0.24143835616438356,0.27435064935064934,0.398972602739726,0.6733232520903754,0.2842081967213115,0.21794871794871795,0.21023181454836132,0.391025641025641,0.27608695652173915,0.02826086956521739,69,0.11057692307692307
Phillies Hitters,"Galvis, Freddy",2017,661,2641,0.25493421052631576,0.30652503793626706,0.3815789473684211,0.6881039853046882,0.29773444613050076,0.16792738275340394,0.17724458204334365,0.3200290275761974,0.23658051689860835,0.02385685884691849,65,0.09833585476550681
Phillies Hitters,"Galvis, Freddy",2021,120,473,0.22429906542056074,0.2916666666666667,0.3925233644859813,0.684190031152648,0.29580833333333334,0.15833333333333333,0.19069767441860466,0.27848101265822783,0.3,0.03333333333333333,14,0.11666666666666667
Phillies Hitters,"García, Adolis",2026,259,1082,0.19480519480519481,0.2702702702702703,0.329004329004329,0.5992745992745994,0.26770656370656365,0.32432432432432434,0.34623217922606925,0.2977624784853701,0.48,0.09333333333333334,21,0.08108108108108109
Phillies Hitters,"Gibson, Kyle",2021,28,88,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.4074074074074074,0.17200000000000001,0.32142857142857145,0.20930232558139536,0.22857142857142856,0.21052631578947367,0.05263157894736842,2,0.07142857142857142
Phillies Hitters,"Goeddel, Tyler",2016,234,904,0.19248826291079812,0.2575107296137339,0.29107981220657275,0.5485905418203066,0.244206008583691,0.2222222222222222,0.25181598062953997,0.2660332541567696,0.3006134969325153,0.018404907975460124,16,0.06837606837606838
Phillies Hitters,"Gosselin, Phil",2019,68,266,0.26153846153846155,0.29411764705882354,0.3076923076923077,0.6018099547511313,0.26325,0.23529411764705882,0.2396694214876033,0.3333333333333333,0.3673469387755102,0.061224489795918366,7,0.10294117647058823
Phillies Hitters,"Gosselin, Phil",2020,101,418,0.25,0.31683168316831684,0.40217391304347827,0.7190055962117952,0.3134950495049505,0.26732673267326734,0.2529411764705882,0.24561403508771928,0.2923076923076923,0.06153846153846154,12,0.1188118811881188
Phillies Hitters,"Gregorius, Didi",2020,234,902,0.2837209302325581,0.33047210300429186,0.4883720930232558,0.8188441960275477,0.3477381974248927,0.11965811965811966,0.19047619047619047,0.33185840707964603,0.2789473684210526,0.042105263157894736,42,0.1794871794871795
Phillies Hitters,"Gregorius, Didi",2021,407,1580,0.20923913043478262,0.2678132678132678,0.3695652173913043,0.6373784852045721,0.274980343980344,0.16461916461916462,0.24563445867287545,0.31722428748451054,0.2662337662337662,0.022727272727272728,56,0.1375921375921376
Phillies Hitters,"Gregorius, Didi",2022,232,827,0.2102803738317757,0.2629310344827586,0.3037383177570093,0.5666693522397679,0.2514913793103448,0.15517241379310345,0.24,0.41067285382830626,0.22777777777777777,0.027777777777777776,19,0.08189655172413793
Phillies Hitters,"Guthrie, Dalton",2022,28,120,0.3333333333333333,0.5,0.47619047619047616,0.9761904761904762,0.4367857142857143,0.25,0.32653061224489793,0.23529411764705882,0.14285714285714285,0.07142857142857142,5,0.17857142857142858
Phillies Hitters,"Guthrie, Dalton",2023,28,113,0.16666666666666666,0.2857142857142857,0.20833333333333334,0.49404761904761907,0.23953571428571427,0.25,0.3157894736842105,0.3548387096774194,0.29411764705882354,0.0,1,0.03571428571428571
Phillies Hitters,"Hall, Darick",2022,142,543,0.25,0.28169014084507044,0.5220588235294118,0.8037489643744822,0.3425774647887324,0.30985915492957744,0.3368421052631579,0.32592592592592595,0.44565217391304346,0.17391304347826086,16,0.11267605633802817
Phillies Hitters,"Hall, Darick",2023,56,205,0.16666666666666666,0.19642857142857142,0.24074074074074073,0.43716931216931215,0.19323214285714285,0.32142857142857145,0.2413793103448276,0.32989690721649484,0.3888888888888889,0.027777777777777776,3,0.05357142857142857
Phillies Hitters,"Hamels, Cole",2015,43,114,0.15384615384615385,0.15384615384615385,0.1794871794871795,0.33333333333333337,0.14515384615384616,0.3488372093023256,0.323943661971831,0.5471698113207547,0.25,0.0,0,0.0
Phillies Hitters,"Harang, Aaron",2015,58,188,0.16666666666666666,0.1836734693877551,0.1875,0.3711734693877551,0.16551020408163264,0.3103448275862069,0.28703703703703703,0.3372093023255814,0.1282051282051282,0.0,0,0.0
Phillies Hitters,"Harper, Bryce",2019,671,2787,0.2600349040139616,0.3621460506706408,0.5095986038394416,0.8717446545100824,0.36552160953800295,0.26527570789865873,0.3379970544918999,0.3037037037037037,0.45614035087719296,0.14786967418546365,119,0.17734724292101342
Phillies Hitters,"Harper, Bryce",2020,236,973,0.26842105263157895,0.4,0.5421052631578948,0.9421052631578948,0.3997489361702128,0.18220338983050846,0.28635346756152125,0.28330522765598654,0.5066666666666667,0.17333333333333334,37,0.15677966101694915
Phillies Hitters,"Harper, Bryce",2021,585,2401,0.3094262295081967,0.41509433962264153,0.6147540983606558,1.0298484379832973,0.43098799313893654,0.22905982905982905,0.31957857769973663,0.2471655328798186,0.49722222222222223,0.18055555555555555,88,0.15042735042735042
Phillies Hitters,"Harper, Bryce",2022,487,1854,0.2956120092378753,0.35802469135802467,0.5473441108545035,0.9053688022125281,0.3855843621399177,0.20739219712525667,0.2900473933649289,0.3633720930232558,0.49117647058823527,0.14411764705882352,79,0.162217659137577
Phillies Hitters,"Harper, Bryce",2023,591,2250,0.2925851703406814,0.39593908629441626,0.5110220440881763,0.9069611303825926,0.3902148900169204,0.21996615905245348,0.334503950834065,0.3257016248153619,0.4772117962466488,0.16353887399463807,82,0.13874788494077833
Phillies Hitters,"Harper, Bryce",2024,637,2547,0.28647686832740216,0.3663522012578616,0.5302491103202847,0.8966013115781463,0.3840377358490566,0.22448979591836735,0.26960418222554144,0.331720801658604,0.4834123222748815,0.10900473933649289,95,0.14913657770800628
Phillies Hitters,"Harper, Bryce",2025,592,2241,0.2596899224806202,0.34966216216216217,0.4806201550387597,0.8302823172009219,0.3584662162162162,0.20945945945945946,0.3073130649137223,0.35731039874902265,0.47341772151898737,0.1189873417721519,79,0.13344594594594594
Phillies Hitters,"Harper, Bryce",2026,538,2133,0.26018099547511314,0.379182156133829,0.49547511312217196,0.874657269256001,0.37722242990654203,0.20817843866171004,0.30028598665395617,0.32955465587044536,0.44807121661721067,0.10979228486646884,73,0.13568773234200743
