check_id,description,recomputed,published,result
V-100-5,slot 5 context weights sum to 1,1.0,1.0,PASS
V-100-6,slot 6 context weights sum to 1,0.9999,1.0,PASS
V-100-7,slot 7 context weights sum to 1,1.0,1.0,PASS
V-100-8,slot 8 context weights sum to 1,1.0,1.0,PASS
V-100-9,slot 9 context weights sum to 1,1.0,1.0,PASS
V-101-1-RISP,"W(slot 1, RISP)",0.1758,0.1758,PASS
V-101-1-BASES_EMPTY,"W(slot 1, BASES_EMPTY)",0.6758,0.6758,PASS
V-101-1-MEN_ON_NO_RISP,"W(slot 1, MEN_ON_NO_RISP)",0.1484,0.1484,PASS
V-101-4-RISP,"W(slot 4, RISP)",0.2495,0.2495,PASS
V-101-4-BASES_EMPTY,"W(slot 4, BASES_EMPTY)",0.522,0.522,PASS
V-101-4-MEN_ON_NO_RISP,"W(slot 4, MEN_ON_NO_RISP)",0.2285,0.2285,PASS
V-110-Luis-1,Luis Arraez slot 1 RE24/PA projected (from published inputs),0.0336,0.0336,PASS
V-111-Luis-1,Luis Arraez slot 1 RE24/162 (from published inputs),24.9,24.89,PASS
V-110-Luis-2,Luis Arraez slot 2 RE24/PA projected (from published inputs),0.0362,0.0361,PASS
V-111-Luis-2,Luis Arraez slot 2 RE24/162 (from published inputs),26.045,26.033,PASS
V-110-Luis-3,Luis Arraez slot 3 RE24/PA projected (from published inputs),0.0372,0.0372,PASS
V-111-Luis-3,Luis Arraez slot 3 RE24/162 (from published inputs),25.937,25.927,PASS
V-110-Luis-4,Luis Arraez slot 4 RE24/PA projected (from published inputs),0.0398,0.0398,PASS
V-111-Luis-4,Luis Arraez slot 4 RE24/162 (from published inputs),27.455,27.441,PASS
V-110-Luis-5,Luis Arraez slot 5 RE24/PA projected (from published inputs),0.038,0.038,PASS
V-111-Luis-5,Luis Arraez slot 5 RE24/162 (from published inputs),25.639,25.627,PASS
V-110-Luis-6,Luis Arraez slot 6 RE24/PA projected (from published inputs),0.0373,0.0373,PASS
V-111-Luis-6,Luis Arraez slot 6 RE24/162 (from published inputs),24.319,24.311,PASS
V-110-Luis-7,Luis Arraez slot 7 RE24/PA projected (from published inputs),0.0396,0.0396,PASS
V-111-Luis-7,Luis Arraez slot 7 RE24/162 (from published inputs),25.228,25.216,PASS
V-110-Luis-8,Luis Arraez slot 8 RE24/PA projected (from published inputs),0.0393,0.0393,PASS
V-111-Luis-8,Luis Arraez slot 8 RE24/162 (from published inputs),24.277,24.268,PASS
V-110-Luis-9,Luis Arraez slot 9 RE24/PA projected (from published inputs),0.0391,0.0391,PASS
V-111-Luis-9,Luis Arraez slot 9 RE24/162 (from published inputs),23.497,23.487,PASS
V-110-Kyle-1,Kyle Schwarber slot 1 RE24/PA projected (from published inputs),0.0619,0.0619,PASS
V-111-Kyle-1,Kyle Schwarber slot 1 RE24/162 (from published inputs),45.811,45.813,PASS
V-110-Kyle-2,Kyle Schwarber slot 2 RE24/PA projected (from published inputs),0.0667,0.0667,PASS
V-111-Kyle-2,Kyle Schwarber slot 2 RE24/162 (from published inputs),48.068,48.063,PASS
V-110-Kyle-3,Kyle Schwarber slot 3 RE24/PA projected (from published inputs),0.0674,0.0674,PASS
V-111-Kyle-3,Kyle Schwarber slot 3 RE24/162 (from published inputs),47.02,47.017,PASS
V-110-Kyle-4,Kyle Schwarber slot 4 RE24/PA projected (from published inputs),0.071,0.071,PASS
V-111-Kyle-4,Kyle Schwarber slot 4 RE24/162 (from published inputs),49.012,49.009,PASS
V-110-Kyle-5,Kyle Schwarber slot 5 RE24/PA projected (from published inputs),0.0637,0.0637,PASS
V-111-Kyle-5,Kyle Schwarber slot 5 RE24/162 (from published inputs),42.951,42.952,PASS
V-110-Kyle-6,Kyle Schwarber slot 6 RE24/PA projected (from published inputs),0.0703,0.0703,PASS
V-111-Kyle-6,Kyle Schwarber slot 6 RE24/162 (from published inputs),45.855,45.857,PASS
V-110-Kyle-7,Kyle Schwarber slot 7 RE24/PA projected (from published inputs),0.0677,0.0677,PASS
V-111-Kyle-7,Kyle Schwarber slot 7 RE24/162 (from published inputs),43.107,43.103,PASS
V-110-Kyle-8,Kyle Schwarber slot 8 RE24/PA projected (from published inputs),0.0633,0.0633,PASS
V-111-Kyle-8,Kyle Schwarber slot 8 RE24/162 (from published inputs),39.083,39.08,PASS
V-110-Kyle-9,Kyle Schwarber slot 9 RE24/PA projected (from published inputs),0.0647,0.0647,PASS
V-111-Kyle-9,Kyle Schwarber slot 9 RE24/162 (from published inputs),38.817,38.813,PASS
V-120-RISP,Arraez RE24/PA in RISP,0.0807,0.0807,PASS
V-121-RISP,Arraez PA in RISP,89,89,PASS
V-120-BASES_EMPTY,Arraez RE24/PA in BASES_EMPTY,0.0198,0.0198,PASS
V-121-BASES_EMPTY,Arraez PA in BASES_EMPTY,301,301,PASS
V-120-MEN_ON_NO_RISP,Arraez RE24/PA in MEN_ON_NO_RISP,0.0408,0.0408,PASS
V-121-MEN_ON_NO_RISP,Arraez PA in MEN_ON_NO_RISP,74,74,PASS
V-130a,Scenario A (Turner 1 / Arraez 4),28.476,28.476,PASS
V-130b,Scenario A-swap (Arraez 1 / Turner 4),25.9,25.9,PASS
V-131a,Scenario B (Schwarber 1 / Arraez 4),73.254,73.254,PASS
V-131b,Scenario B-swap (Arraez 1 / Schwarber 4),73.899,73.899,PASS
V-131c,Scenario C (Arraez 2 / Schwarber 4),75.043,75.043,PASS
V-132a,Delta under the Turner framing,-2.576,-2.576,PASS
V-132b,Delta under the Schwarber framing,0.645,0.645,PASS
V-133a,Turner-framing swap is NEGATIVE (report claim),True,True,PASS
V-133b,Schwarber-framing swap is under 2 runs per 162 (report claim),True,True,PASS
V-133c,Scenario C beats both stated options (report claim),True,True,PASS
V-133d,"Observed leadoff hitter is Trea Turner, not Schwarber",Trea Turner,Trea Turner,PASS
V-134,Arraez slot spread under 5 runs per 162 (headline claim),True,True,PASS
V-135,Schwarber outproduces Arraez in every slot,0,0,PASS
V-140,Arraez OBP used by AR-7,0.3556,0.3556,PASS
V-141-1,slot 1 incumbent OBP,0.3184,0.3184,PASS
V-142-1,slot 1 incumbent on-base/g,1.4554,1.4554,PASS
V-143-1,slot 1 Arraez supply/g,1.6256,1.6256,PASS
V-141-2,slot 2 incumbent OBP,0.3394,0.3394,PASS
V-142-2,slot 2 incumbent on-base/g,1.5089,1.5089,PASS
V-143-2,slot 2 Arraez supply/g,1.5811,1.5812,PASS
V-141-3,slot 3 incumbent OBP,0.3651,0.3651,PASS
V-142-3,slot 3 incumbent on-base/g,1.5714,1.5714,PASS
V-143-3,slot 3 Arraez supply/g,1.5304,1.5304,PASS
V-141-4,slot 4 incumbent OBP,0.2872,0.2872,PASS
V-142-4,slot 4 incumbent on-base/g,1.2232,1.2232,PASS
V-143-4,slot 4 Arraez supply/g,1.5145,1.5145,PASS
V-141-5,slot 5 incumbent OBP,0.279,0.279,PASS
V-142-5,slot 5 incumbent on-base/g,1.1607,1.1607,PASS
V-143-5,slot 5 Arraez supply/g,1.4795,1.4796,PASS
V-141-6,slot 6 incumbent OBP,0.2882,0.2882,PASS
V-142-6,slot 6 incumbent on-base/g,1.1607,1.1607,PASS
V-143-6,slot 6 Arraez supply/g,1.4319,1.4319,PASS
V-141-7,slot 7 incumbent OBP,0.2727,0.2727,PASS
V-142-7,slot 7 incumbent on-base/g,1.0714,1.0714,PASS
